event_id,po_id,worker_id,time_start,intent,item,quantity,unit,lot_code,supplier,in_reply_to,utterance
EVT-S0112,PO-4406,W-19,2026-09-12T10:37:00+00:00,confirm_discrepancy,blueberries,30,cases,B4406,Valley Mist,CLQ-RCV-4406-BLU,"yeah that's right, 30 on the pallet, PO only called for 24"
EVT-S0113,PO-4404,W-18,2026-09-11T12:17:00+00:00,receive,tomatoes,40,cases,T4404,Pacific Pack,,"receiving 40 cases of tomatoes, lot T4404, from Pacific Pack"
EVT-S0114,PO-4403,W-17,2026-09-10T08:24:00+00:00,receive,kale,16,cases,K4403,Harbor Greens,,"receiving 16 cases of kale, lot K4403, from Harbor Greens"
EVT-S0115,PO-4398,W-19,2026-09-09T13:52:00+00:00,receive,romaine,30,cases,R4398,Sierra Packing,,"receiving 30 cases of romaine, lot R4398, from Sierra Packing"
EVT-S0116,PO-5002,W-19,2026-09-07T11:09:42+00:00,receive,herbs,50,cases,H5002-88,Sierra Packing,,"receiving 50 cases of herbs, lot H5002-88, from Sierra Packing"
EVT-S0117,PO-5003,W-19,2026-09-11T14:48:32+00:00,receive,strawberries,50,cases,S5003-67,High Desert Growers,,"receiving 50 cases of strawberries, lot S5003-67, from High Desert Growers"
EVT-S0118,PO-5004,W-19,2026-09-08T09:18:53+00:00,receive,strawberries,50,cases,S5004-19,High Desert Growers 2,,"receiving 50 cases of strawberries, lot S5004-19, from High Desert Growers 2"
EVT-S0119,PO-5005,W-19,2026-09-10T09:12:17+00:00,receive,romaine,42,cases,R5005-37,CoolChain Farms,,"receiving 42 cases of romaine, lot R5005-37, from CoolChain Farms"
EVT-S0120,PO-5005,W-19,2026-09-10T09:15:17+00:00,confirm_discrepancy,romaine,42,cases,R5005-37,CoolChain Farms,CLQ-RCV-5005-ROM,"yeah that's right, only 42 on the pallet, not 48"
EVT-S0121,PO-5005,W-19,2026-09-10T09:12:17+00:00,receive,avocado,50,cases,A5005-63,CoolChain Farms,,"receiving 50 cases of avocado, lot A5005-63, from CoolChain Farms"
EVT-S0122,PO-5005,W-19,2026-09-10T09:15:17+00:00,confirm_discrepancy,avocado,50,cases,A5005-63,CoolChain Farms,CLQ-RCV-5005-AVO,"yeah that's right, only 50 on the pallet, not 60"
EVT-S0123,PO-5006,W-19,2026-09-07T14:18:26+00:00,receive,romaine,48,cases,R5006-71,Pacific Pack,,"receiving 48 cases of romaine, lot R5006-71, from Pacific Pack"
EVT-S0124,PO-5007,W-18,2026-09-07T10:12:19+00:00,receive,potatoes,24,cases,P5007-72,Pacific Pack 3,,"receiving 24 cases of potatoes, lot P5007-72, from Pacific Pack 3"
EVT-S0125,PO-5008,W-18,2026-09-08T10:55:31+00:00,receive,cabbage,20,cases,C5008-69,Fresh Farms,,"receiving 20 cases of cabbage, lot C5008-69, from Fresh Farms"
EVT-S0126,PO-5009,W-18,2026-09-12T15:34:39+00:00,receive,cucumbers,6,cases,C5009-27,Sierra Packing,,"receiving 6 cases of cucumbers, lot C5009-27, from Sierra Packing"
EVT-S0127,PO-5010,W-18,2026-09-11T08:45:03+00:00,receive,kale,48,cases,K5010-45,GreenLeaf Produce,,"receiving 48 cases of kale, lot K5010-45, from GreenLeaf Produce"
EVT-S0128,PO-5011,W-17,2026-09-10T14:17:26+00:00,receive,corn,12,cases,C5011-54,GreenLeaf Produce,,"receiving 12 cases of corn, lot C5011-54, from GreenLeaf Produce"
EVT-S0129,PO-5012,W-17,2026-09-08T07:47:49+00:00,receive,herbs,24,cases,H5012-12,North Fork Cold 6,,"receiving 24 cases of herbs, lot H5012-12, from North Fork Cold 6"
EVT-S0130,PO-5013,W-17,2026-09-10T09:14:08+00:00,receive,strawberries,30,cases,S5013-57,Sunridge Organics,,"receiving 30 cases of strawberries, lot S5013-57, from Sunridge Organics"
EVT-S0131,PO-5014,W-17,2026-09-07T12:22:47+00:00,receive,romaine,4,cases,R5014-83,Fresh Farms 3,,"receiving 4 cases of romaine, lot R5014-83, from Fresh Farms 3"
EVT-S0132,PO-5015,W-19,2026-09-10T15:22:24+00:00,receive,carrots,24,cases,C5015-23,Pacific Pack,,"receiving 24 cases of carrots, lot C5015-23, from Pacific Pack"
EVT-S0133,PO-5016,W-17,2026-09-10T09:46:54+00:00,receive,broccoli,12,cases,B5016-54,Sierra Packing 2,,"receiving 12 cases of broccoli, lot B5016-54, from Sierra Packing 2"
EVT-S0134,PO-5017,W-19,2026-09-09T12:50:23+00:00,receive,mushrooms,50,cases,M5017-23,Fresh Farms,,"receiving 50 cases of mushrooms, lot M5017-23, from Fresh Farms"
EVT-S0135,PO-5018,W-18,2026-09-09T10:17:40+00:00,receive,tomatoes,60,cases,,Valley Mist 5,,"receiving 60 cases of tomatoes from Valley Mist 5, slip has no lot code"
EVT-S0136,PO-5019,W-19,2026-09-12T09:30:39+00:00,receive,tomatoes,30,cases,T5019-51,Fresh Farms 4,,"receiving 30 cases of tomatoes, lot T5019-51, from Fresh Farms 4"
EVT-S0137,PO-5020,W-18,2026-09-11T14:17:59+00:00,receive,tomatoes,48,cases,T5020-53,Fresh Farms,,"receiving 48 cases of tomatoes, lot T5020-53, from Fresh Farms"
EVT-S0138,PO-5021,W-17,2026-09-07T14:27:20+00:00,receive,spinach,30,cases,S5021-86,Berry Grove Co,,"receiving 30 cases of spinach, lot S5021-86, from Berry Grove Co"
EVT-S0139,PO-5022,W-17,2026-09-10T09:33:35+00:00,receive,potatoes,50,cases,P5022-81,Fresh Farms,,"receiving 50 cases of potatoes, lot P5022-81, from Fresh Farms"
EVT-S0140,PO-5022,W-17,2026-09-10T09:33:35+00:00,receive,corn,50,cases,C5022-92,Fresh Farms,,"receiving 50 cases of corn, lot C5022-92, from Fresh Farms"
EVT-S0141,PO-5023,W-18,2026-09-10T11:01:50+00:00,receive,onions,22,cases,O5023-70,Fresh Farms,,"receiving 22 cases of onions, lot O5023-70, from Fresh Farms"
EVT-S0142,PO-5023,W-18,2026-09-10T11:04:50+00:00,confirm_discrepancy,onions,22,cases,O5023-70,Fresh Farms,CLQ-RCV-5023-ONI,"yeah that's right, only 22 on the pallet, not 30"
EVT-S0143,PO-5024,W-19,2026-09-09T10:08:27+00:00,receive,onions,30,cases,O5024-49,North Fork Cold 7,,"receiving 30 cases of onions, lot O5024-49, from North Fork Cold 7"
EVT-S0144,PO-5025,W-17,2026-09-08T08:13:46+00:00,receive,herbs,24,cases,H5025-37,Berry Grove Co,,"receiving 24 cases of herbs, lot H5025-37, from Berry Grove Co"
EVT-S0145,PO-5025,W-17,2026-09-08T08:16:46+00:00,confirm_discrepancy,herbs,24,cases,H5025-37,Berry Grove Co,CLQ-RCV-5025-HER,"yeah that's right, 24 on the pallet, PO only called for 20"
EVT-S0146,PO-5026,W-19,2026-09-10T09:33:46+00:00,receive,limes,24,cases,L5026-47,Berry Grove Co 2,,"receiving 24 cases of limes, lot L5026-47, from Berry Grove Co 2"
EVT-S0147,PO-5027,W-19,2026-09-08T08:43:19+00:00,receive,romaine,12,cases,R5027-80,Fresh Farms,,"receiving 12 cases of romaine, lot R5027-80, from Fresh Farms"
EVT-S0148,PO-5027,W-19,2026-09-08T08:43:19+00:00,receive,spinach,20,cases,S5027-91,Fresh Farms,,"receiving 20 cases of spinach, lot S5027-91, from Fresh Farms"
EVT-S0149,PO-5028,W-19,2026-09-11T11:23:06+00:00,receive,iceberg,44,cases,I5028-16,Prairie Lot 4,,"receiving 44 cases of iceberg, lot I5028-16, from Prairie Lot 4"
EVT-S0150,PO-5028,W-19,2026-09-11T11:26:06+00:00,confirm_discrepancy,iceberg,44,cases,I5028-16,Prairie Lot 4,CLQ-RCV-5028-ICE,"yeah that's right, 44 on the pallet, PO only called for 40"
EVT-S0151,PO-5029,W-17,2026-09-08T14:33:30+00:00,receive,romaine,12,cases,R5029-29,Fresh Farms,,"receiving 12 cases of romaine, lot R5029-29, from Fresh Farms"
EVT-S0152,PO-5030,W-17,2026-09-07T12:00:19+00:00,receive,lettuce,16,cases,L5030-58,Fresh Farms,,"receiving 16 cases of lettuce, lot L5030-58, from Fresh Farms"
EVT-S0153,PO-5030,W-17,2026-09-07T12:00:19+00:00,receive,tomatoes,44,cases,T5030-85,Fresh Farms,,"receiving 44 cases of tomatoes, lot T5030-85, from Fresh Farms"
EVT-S0154,PO-5031,W-19,2026-09-12T09:48:36+00:00,receive,romaine,24,cases,R5031-90,Valley Mist 2,,"receiving 24 cases of romaine, lot R5031-90, from Valley Mist 2"
EVT-S0155,PO-5032,W-17,2026-09-07T12:50:05+00:00,receive,strawberries,48,cases,S5032-67,Berry Grove Co,,"receiving 48 cases of strawberries, lot S5032-67, from Berry Grove Co"
EVT-S0156,PO-5033,W-18,2026-09-10T11:12:18+00:00,receive,onions,50,cases,O5033-19,Fresh Farms,,"receiving 50 cases of onions, lot O5033-19, from Fresh Farms"
EVT-S0157,PO-5034,W-19,2026-09-10T15:05:16+00:00,receive,zucchini,24,cases,,Sierra Packing 3,,"receiving 24 cases of zucchini from Sierra Packing 3, slip has no lot code"
EVT-S0158,PO-5035,W-18,2026-09-09T11:50:14+00:00,receive,romaine,20,cases,R5035-49,Coastal Crisp 2,,"receiving 20 cases of romaine, lot R5035-49, from Coastal Crisp 2"
EVT-S0159,PO-5036,W-18,2026-09-09T14:14:36+00:00,receive,peppers,48,cases,P5036-44,Harbor Greens 5,,"receiving 48 cases of peppers, lot P5036-44, from Harbor Greens 5"
EVT-S0160,PO-5036,W-18,2026-09-09T14:14:36+00:00,receive,iceberg,50,cases,I5036-66,Harbor Greens 5,,"receiving 50 cases of iceberg, lot I5036-66, from Harbor Greens 5"
EVT-S0161,PO-5037,W-18,2026-09-07T07:32:56+00:00,receive,romaine,24,cases,R5037-96,High Desert Growers,,"receiving 24 cases of romaine, lot R5037-96, from High Desert Growers"
EVT-S0162,PO-5038,W-19,2026-09-11T12:06:37+00:00,receive,broccoli,20,cases,B5038-70,Coastal Crisp 6,,"receiving 20 cases of broccoli, lot B5038-70, from Coastal Crisp 6"
EVT-S0163,PO-5039,W-19,2026-09-09T10:58:58+00:00,receive,zucchini,16,cases,Z5039-70,GreenLeaf Produce,,"receiving 16 cases of zucchini, lot Z5039-70, from GreenLeaf Produce"
EVT-S0164,PO-5040,W-17,2026-09-08T10:02:20+00:00,receive,onions,30,cases,O5040-94,North Fork Cold 2,,"receiving 30 cases of onions, lot O5040-94, from North Fork Cold 2"
EVT-S0165,PO-5041,W-18,2026-09-12T14:08:48+00:00,receive,spinach,16,cases,S5041-61,Blue Mesa Farms,,"receiving 16 cases of spinach, lot S5041-61, from Blue Mesa Farms"
EVT-S0166,PO-5041,W-18,2026-09-12T14:08:48+00:00,receive,asparagus,12,cases,A5041-94,Blue Mesa Farms,,"receiving 12 cases of asparagus, lot A5041-94, from Blue Mesa Farms"
EVT-S0167,PO-5042,W-19,2026-09-11T11:08:26+00:00,receive,corn,50,cases,C5042-16,Fresh Farms,,"receiving 50 cases of corn, lot C5042-16, from Fresh Farms"
EVT-S0168,PO-5043,W-18,2026-09-07T11:53:08+00:00,receive,iceberg,12,cases,I5043-90,Fresh Farms 6,,"receiving 12 cases of iceberg, lot I5043-90, from Fresh Farms 6"
EVT-S0169,PO-5044,W-19,2026-09-09T09:14:45+00:00,receive,avocado,24,cases,A5044-24,Berry Grove Co,,"receiving 24 cases of avocado, lot A5044-24, from Berry Grove Co"
EVT-S0170,PO-5044,W-19,2026-09-09T09:14:45+00:00,receive,tomatoes,16,cases,T5044-92,Berry Grove Co,,"receiving 16 cases of tomatoes, lot T5044-92, from Berry Grove Co"
EVT-S0171,PO-5045,W-19,2026-09-11T11:27:59+00:00,receive,avocado,50,cases,A5045-70,Fresh Farms 3,,"receiving 50 cases of avocado, lot A5045-70, from Fresh Farms 3"
EVT-S0172,PO-5046,W-19,2026-09-08T11:54:09+00:00,receive,green beans,22,cases,G5046-63,Pacific Pack,,"receiving 22 cases of green beans, lot G5046-63, from Pacific Pack"
EVT-S0173,PO-5046,W-19,2026-09-08T11:57:09+00:00,confirm_discrepancy,green beans,22,cases,G5046-63,Pacific Pack,CLQ-RCV-5046-GRE,"yeah that's right, 22 on the pallet, PO only called for 16"
EVT-S0174,PO-5047,W-17,2026-09-08T13:55:32+00:00,receive,spinach,50,cases,S5047-29,GreenLeaf Produce,,"receiving 50 cases of spinach, lot S5047-29, from GreenLeaf Produce"
EVT-S0175,PO-5048,W-19,2026-09-09T11:19:22+00:00,receive,beets,18,cases,B5048-83,CoolChain Farms,,"receiving 18 cases of beets, lot B5048-83, from CoolChain Farms"
EVT-S0176,PO-5048,W-19,2026-09-09T11:22:22+00:00,confirm_discrepancy,beets,18,cases,B5048-83,CoolChain Farms,CLQ-RCV-5048-BEE,"yeah that's right, only 18 on the pallet, not 24"
EVT-S0177,PO-5049,W-18,2026-09-08T14:30:49+00:00,receive,onions,48,cases,O5049-59,High Desert Growers,,"receiving 48 cases of onions, lot O5049-59, from High Desert Growers"
EVT-S0178,PO-5050,W-17,2026-09-12T13:57:52+00:00,receive,romaine,60,cases,R5050-85,Coastal Crisp 2,,"receiving 60 cases of romaine, lot R5050-85, from Coastal Crisp 2"
EVT-S0179,PO-5051,W-17,2026-09-08T08:03:55+00:00,receive,tomatoes,14,cases,T5051-93,Sunridge Organics 4,,"receiving 14 cases of tomatoes, lot T5051-93, from Sunridge Organics 4"
EVT-S0180,PO-5052,W-18,2026-09-12T07:50:30+00:00,receive,onions,8,cases,O5052-96,Red River Produce 3,,"receiving 8 cases of onions, lot O5052-96, from Red River Produce 3"
EVT-S0181,PO-5052,W-18,2026-09-12T07:53:30+00:00,confirm_discrepancy,onions,8,cases,O5052-96,Red River Produce 3,CLQ-RCV-5052-ONI,"yeah that's right, only 8 on the pallet, not 16"
EVT-S0182,PO-5053,W-18,2026-09-11T10:26:20+00:00,receive,romaine,16,cases,R5053-40,Valley Mist 2,,"receiving 16 cases of romaine, lot R5053-40, from Valley Mist 2"
EVT-S0183,PO-5054,W-19,2026-09-10T15:03:18+00:00,receive,limes,16,cases,L5054-66,North Fork Cold 7,,"receiving 16 cases of limes, lot L5054-66, from North Fork Cold 7"
EVT-S0184,PO-5054,W-19,2026-09-10T15:03:18+00:00,receive,strawberries,30,cases,S5054-13,North Fork Cold 7,,"receiving 30 cases of strawberries, lot S5054-13, from North Fork Cold 7"
EVT-S0185,PO-5055,W-18,2026-09-07T13:59:03+00:00,receive,strawberries,48,cases,S5055-82,GreenLeaf Produce,,"receiving 48 cases of strawberries, lot S5055-82, from GreenLeaf Produce"
EVT-S0186,PO-5056,W-19,2026-09-10T08:44:10+00:00,receive,celery,24,cases,C5056-73,Berry Grove Co,,"receiving 24 cases of celery, lot C5056-73, from Berry Grove Co"
EVT-S0187,PO-5057,W-18,2026-09-12T08:25:14+00:00,receive,peppers,50,cases,P5057-46,Sunridge Organics,,"receiving 50 cases of peppers, lot P5057-46, from Sunridge Organics"
EVT-S0188,PO-5058,W-18,2026-09-10T08:32:04+00:00,receive,spinach,48,cases,S5058-98,Coastal Crisp,,"receiving 48 cases of spinach, lot S5058-98, from Coastal Crisp"
EVT-S0189,PO-5059,W-18,2026-09-08T14:24:19+00:00,receive,romaine,48,cases,R5059-83,Berry Grove Co,,"receiving 48 cases of romaine, lot R5059-83, from Berry Grove Co"
EVT-S0190,PO-5060,W-19,2026-09-08T09:43:44+00:00,receive,romaine,12,cases,R5060-87,GreenLeaf Produce,,"receiving 12 cases of romaine, lot R5060-87, from GreenLeaf Produce"
EVT-S0191,PO-5061,W-17,2026-09-10T14:18:57+00:00,receive,kale,24,cases,K5061-89,Coastal Crisp 5,,"receiving 24 cases of kale, lot K5061-89, from Coastal Crisp 5"
EVT-S0192,PO-5062,W-19,2026-09-08T13:38:46+00:00,receive,celery,12,cases,C5062-49,Coastal Crisp 3,,"receiving 12 cases of celery, lot C5062-49, from Coastal Crisp 3"
EVT-S0193,PO-5063,W-17,2026-09-11T07:29:37+00:00,receive,spinach,48,cases,S5063-32,Valley Mist,,"receiving 48 cases of spinach, lot S5063-32, from Valley Mist"
EVT-S0194,PO-5063,W-17,2026-09-11T07:29:37+00:00,receive,strawberries,60,cases,S5063-56,Valley Mist,,"receiving 60 cases of strawberries, lot S5063-56, from Valley Mist"
EVT-S0195,PO-5064,W-18,2026-09-09T14:59:17+00:00,receive,herbs,30,cases,H5064-53,Valley Mist 4,,"receiving 30 cases of herbs, lot H5064-53, from Valley Mist 4"
EVT-S0196,PO-5065,W-17,2026-09-11T11:11:04+00:00,receive,potatoes,40,cases,P5065-21,Fresh Farms,,"receiving 40 cases of potatoes, lot P5065-21, from Fresh Farms"
EVT-S0197,PO-5066,W-18,2026-09-11T07:19:16+00:00,receive,corn,30,cases,C5066-84,Blue Mesa Farms,,"receiving 30 cases of corn, lot C5066-84, from Blue Mesa Farms"
EVT-S0198,PO-5067,W-17,2026-09-08T12:38:23+00:00,receive,celery,52,cases,C5067-88,Fresh Farms,,"receiving 52 cases of celery, lot C5067-88, from Fresh Farms"
EVT-S0199,PO-5068,W-19,2026-09-08T07:44:40+00:00,receive,avocado,20,cases,A5068-15,CoolChain Farms 4,,"receiving 20 cases of avocado, lot A5068-15, from CoolChain Farms 4"
EVT-S0200,PO-5069,W-17,2026-09-12T09:47:31+00:00,receive,romaine,50,cases,R5069-57,Fresh Farms,,"receiving 50 cases of romaine, lot R5069-57, from Fresh Farms"
EVT-S0201,PO-5070,W-18,2026-09-10T13:32:44+00:00,receive,potatoes,48,cases,P5070-93,High Desert Growers 6,,"receiving 48 cases of potatoes, lot P5070-93, from High Desert Growers 6"
EVT-S0202,PO-5071,W-18,2026-09-07T11:22:39+00:00,receive,kale,50,cases,K5071-66,Pacific Pack,,"receiving 50 cases of kale, lot K5071-66, from Pacific Pack"
EVT-S0203,PO-5071,W-18,2026-09-07T11:22:39+00:00,receive,herbs,40,cases,H5071-22,Pacific Pack,,"receiving 40 cases of herbs, lot H5071-22, from Pacific Pack"
EVT-S0204,PO-5072,W-19,2026-09-12T10:20:34+00:00,receive,avocado,24,cases,A5072-25,Coastal Crisp 5,,"receiving 24 cases of avocado, lot A5072-25, from Coastal Crisp 5"
EVT-S0205,PO-5073,W-17,2026-09-12T14:13:29+00:00,receive,carrots,12,cases,C5073-16,Fresh Farms,,"receiving 12 cases of carrots, lot C5073-16, from Fresh Farms"
EVT-S0206,PO-5074,W-17,2026-09-11T09:16:08+00:00,receive,lettuce,24,cases,L5074-85,Sierra Packing 3,,"receiving 24 cases of lettuce, lot L5074-85, from Sierra Packing 3"
EVT-S0207,PO-5074,W-17,2026-09-11T09:16:08+00:00,receive,strawberries,24,cases,S5074-52,Sierra Packing 3,,"receiving 24 cases of strawberries, lot S5074-52, from Sierra Packing 3"
EVT-S0208,PO-5075,W-18,2026-09-11T13:55:57+00:00,receive,romaine,20,cases,R5075-79,GreenLeaf Produce 2,,"receiving 20 cases of romaine, lot R5075-79, from GreenLeaf Produce 2"
EVT-S0209,PO-5077,W-18,2026-09-10T11:41:07+00:00,receive,kale,6,cases,K5077-74,Valley Mist 3,,"receiving 6 cases of kale, lot K5077-74, from Valley Mist 3"
EVT-S0210,PO-5077,W-18,2026-09-10T11:44:07+00:00,confirm_discrepancy,kale,6,cases,K5077-74,Valley Mist 3,CLQ-RCV-5077-KAL,"yeah that's right, only 6 on the pallet, not 16"
EVT-S0211,PO-5078,W-19,2026-09-08T12:26:02+00:00,receive,tomatoes,12,cases,T5078-17,Berry Grove Co 3,,"receiving 12 cases of tomatoes, lot T5078-17, from Berry Grove Co 3"
EVT-S0212,PO-5079,W-17,2026-09-12T14:25:25+00:00,receive,radish,16,cases,R5079-20,High Desert Growers,,"receiving 16 cases of radish, lot R5079-20, from High Desert Growers"
EVT-S0213,PO-5080,W-19,2026-09-08T08:27:04+00:00,receive,broccoli,40,cases,B5080-58,Fresh Farms,,"receiving 40 cases of broccoli, lot B5080-58, from Fresh Farms"
EVT-S0214,PO-5081,W-19,2026-09-12T11:43:18+00:00,receive,cabbage,16,cases,C5081-93,Coastal Crisp,,"receiving 16 cases of cabbage, lot C5081-93, from Coastal Crisp"
EVT-S0215,PO-5082,W-17,2026-09-10T13:45:35+00:00,receive,green beans,48,cases,G5082-68,Fresh Farms 3,,"receiving 48 cases of green beans, lot G5082-68, from Fresh Farms 3"
EVT-S0216,PO-5083,W-18,2026-09-08T13:25:06+00:00,receive,kale,28,cases,K5083-70,CoolChain Farms,,"receiving 28 cases of kale, lot K5083-70, from CoolChain Farms"
EVT-S0217,PO-5083,W-18,2026-09-08T13:28:06+00:00,confirm_discrepancy,kale,28,cases,K5083-70,CoolChain Farms,CLQ-RCV-5083-KAL,"yeah that's right, 28 on the pallet, PO only called for 20"
EVT-S0218,PO-5084,W-17,2026-09-07T14:17:05+00:00,receive,kale,20,cases,,Fresh Farms,,"receiving 20 cases of kale from Fresh Farms, slip has no lot code"
EVT-S0219,PO-5085,W-19,2026-09-09T12:12:35+00:00,receive,kale,48,cases,K5085-16,Harbor Greens,,"receiving 48 cases of kale, lot K5085-16, from Harbor Greens"
EVT-S0220,PO-5085,W-19,2026-09-09T12:12:35+00:00,receive,lemons,30,cases,L5085-55,Harbor Greens,,"receiving 30 cases of lemons, lot L5085-55, from Harbor Greens"
EVT-S0221,PO-5086,W-18,2026-09-07T11:31:13+00:00,receive,romaine,60,cases,R5086-57,Fresh Farms,,"receiving 60 cases of romaine, lot R5086-57, from Fresh Farms"
EVT-S0222,PO-5087,W-18,2026-09-07T09:34:36+00:00,receive,limes,60,cases,,Berry Grove Co,,"receiving 60 cases of limes from Berry Grove Co, slip has no lot code"
EVT-S0223,PO-5088,W-18,2026-09-07T15:07:42+00:00,receive,spinach,30,cases,S5088-53,Valley Mist 4,,"receiving 30 cases of spinach, lot S5088-53, from Valley Mist 4"
EVT-S0224,PO-5088,W-18,2026-09-07T15:07:42+00:00,receive,kale,20,cases,K5088-28,Valley Mist 4,,"receiving 20 cases of kale, lot K5088-28, from Valley Mist 4"
EVT-S0225,PO-5089,W-19,2026-09-09T10:37:04+00:00,receive,romaine,60,cases,R5089-37,Fresh Farms,,"receiving 60 cases of romaine, lot R5089-37, from Fresh Farms"
EVT-S0226,PO-5090,W-18,2026-09-08T11:04:21+00:00,receive,lettuce,16,cases,L5090-16,Berry Grove Co,,"receiving 16 cases of lettuce, lot L5090-16, from Berry Grove Co"
EVT-S0227,PO-5091,W-17,2026-09-07T13:38:39+00:00,receive,cucumbers,50,cases,C5091-87,Fresh Farms,,"receiving 50 cases of cucumbers, lot C5091-87, from Fresh Farms"
EVT-S0228,PO-5092,W-17,2026-09-09T09:31:13+00:00,receive,romaine,50,cases,R5092-77,Pacific Pack 3,,"receiving 50 cases of romaine, lot R5092-77, from Pacific Pack 3"
EVT-S0229,PO-5093,W-19,2026-09-10T07:35:14+00:00,receive,strawberries,18,cases,S5093-42,Pacific Pack,,"receiving 18 cases of strawberries, lot S5093-42, from Pacific Pack"
EVT-S0230,PO-5093,W-19,2026-09-10T07:38:14+00:00,confirm_discrepancy,strawberries,18,cases,S5093-42,Pacific Pack,CLQ-RCV-5093-STR,"yeah that's right, only 18 on the pallet, not 24"
EVT-S0231,PO-5093,W-19,2026-09-10T07:35:14+00:00,receive,spinach,12,cases,S5093-73,Pacific Pack,,"receiving 12 cases of spinach, lot S5093-73, from Pacific Pack"
EVT-S0232,PO-5093,W-19,2026-09-10T07:38:14+00:00,confirm_discrepancy,spinach,12,cases,S5093-73,Pacific Pack,CLQ-RCV-5093-SPI,"yeah that's right, only 12 on the pallet, not 16"
EVT-S0233,PO-5094,W-19,2026-09-10T08:41:08+00:00,receive,broccoli,40,cases,B5094-19,Pacific Pack,,"receiving 40 cases of broccoli, lot B5094-19, from Pacific Pack"
EVT-S0234,PO-5095,W-18,2026-09-08T13:31:02+00:00,receive,asparagus,48,cases,A5095-83,Coastal Crisp,,"receiving 48 cases of asparagus, lot A5095-83, from Coastal Crisp"
EVT-S0235,PO-5096,W-18,2026-09-08T12:39:26+00:00,receive,kale,50,cases,K5096-98,GreenLeaf Produce,,"receiving 50 cases of kale, lot K5096-98, from GreenLeaf Produce"
EVT-S0236,PO-5096,W-18,2026-09-08T12:39:26+00:00,receive,radish,16,cases,R5096-65,GreenLeaf Produce,,"receiving 16 cases of radish, lot R5096-65, from GreenLeaf Produce"
EVT-S0237,PO-5097,W-19,2026-09-11T09:16:27+00:00,receive,asparagus,40,cases,A5097-38,Berry Grove Co 2,,"receiving 40 cases of asparagus, lot A5097-38, from Berry Grove Co 2"
EVT-S0238,PO-5097,W-19,2026-09-11T09:16:27+00:00,receive,kale,20,cases,K5097-19,Berry Grove Co 2,,"receiving 20 cases of kale, lot K5097-19, from Berry Grove Co 2"
EVT-S0239,PO-5098,W-18,2026-09-09T08:10:33+00:00,receive,lemons,20,cases,L5098-40,Red River Produce,,"receiving 20 cases of lemons, lot L5098-40, from Red River Produce"
EVT-S0240,PO-5099,W-17,2026-09-07T09:23:12+00:00,receive,cucumbers,20,cases,C5099-90,Berry Grove Co,,"receiving 20 cases of cucumbers, lot C5099-90, from Berry Grove Co"
EVT-S0241,PO-5100,W-18,2026-09-09T13:38:36+00:00,receive,green beans,40,cases,G5100-90,High Desert Growers 3,,"receiving 40 cases of green beans, lot G5100-90, from High Desert Growers 3"
