doc_id,po_id,supplier,sku,item,quantity,unit,received_at
BOL-5006,PO-5006,Pacific Pack,ROM-ICE-24,romaine,48,cases,2026-09-07T14:06:26+00:00
BOL-5007,PO-5007,Pacific Pack 3,POT-RUS-50,potatoes,24,cases,2026-09-07T10:00:19+00:00
BOL-5008,PO-5008,Fresh Farms,CAB-GRN-20,cabbage,20,cases,2026-09-08T10:43:31+00:00
BOL-5009,PO-5009,Sierra Packing,CUC-CTN-24,cucumbers,16,cases,2026-09-12T15:22:39+00:00
BOL-5010,PO-5010,GreenLeaf Produce,KAL-BCH-12,kale,48,cases,2026-09-11T08:33:03+00:00
BOL-5011,PO-5011,GreenLeaf Produce,CRN-EAR-48,corn,12,cases,2026-09-10T14:05:26+00:00
BOL-5012,PO-5012,North Fork Cold 6,HRB-MIX-12,herbs,24,cases,2026-09-08T07:35:49+00:00
BOL-5013,PO-5013,Sunridge Organics,STR-CLAM-12,strawberries,30,cases,2026-09-10T09:02:08+00:00
BOL-5014,PO-5014,Fresh Farms 3,ROM-ICE-24,romaine,12,cases,2026-09-07T12:10:47+00:00
BOL-5015,PO-5015,Pacific Pack,CAR-BAG-50,carrots,24,cases,2026-09-10T15:10:24+00:00
BOL-5016,PO-5016,Sierra Packing 2,BRO-CRN-20,broccoli,12,cases,2026-09-10T09:34:54+00:00
BOL-5017,PO-5017,Fresh Farms,MSH-CTN-10,mushrooms,50,cases,2026-09-09T12:38:23+00:00
BOL-5018,PO-5018,Valley Mist 5,TOM-VINE-25,tomatoes,60,cases,2026-09-09T10:05:40+00:00
BOL-5019,PO-5019,Fresh Farms 4,TOM-VINE-25,tomatoes,30,cases,2026-09-12T09:18:39+00:00
BOL-5020,PO-5020,Fresh Farms,TOM-VINE-25,tomatoes,48,cases,2026-09-11T14:05:59+00:00
BOL-5021,PO-5021,Berry Grove Co,SPI-BCH-24,spinach,30,cases,2026-09-07T14:15:20+00:00
BOL-5022,PO-5022,Fresh Farms,POT-RUS-50,potatoes,50,cases,2026-09-10T09:21:35+00:00
BOL-5022,PO-5022,Fresh Farms,CRN-EAR-48,corn,50,cases,2026-09-10T09:21:35+00:00
BOL-5023,PO-5023,Fresh Farms,ONI-SK-50,onions,30,cases,2026-09-10T10:49:50+00:00
BOL-5024,PO-5024,North Fork Cold 7,ONI-SK-50,onions,30,cases,2026-09-09T09:56:27+00:00
BOL-5025,PO-5025,Berry Grove Co,HRB-MIX-12,herbs,20,cases,2026-09-08T08:01:46+00:00
BOL-5026,PO-5026,Berry Grove Co 2,LIM-CTN-40,limes,24,cases,2026-09-10T09:21:46+00:00
BOL-5027,PO-5027,Fresh Farms,ROM-ICE-24,romaine,12,cases,2026-09-08T08:31:19+00:00
BOL-5027,PO-5027,Fresh Farms,SPI-BCH-24,spinach,20,cases,2026-09-08T08:31:19+00:00
BOL-5028,PO-5028,Prairie Lot 4,ICE-HD-24,iceberg,40,cases,2026-09-11T11:11:06+00:00
BOL-5029,PO-5029,Fresh Farms,ROM-ICE-24,romaine,12,cases,2026-09-08T14:21:30+00:00
BOL-5030,PO-5030,Fresh Farms,LET-BIB-12,lettuce,16,cases,2026-09-07T11:48:19+00:00
BOL-5030,PO-5030,Fresh Farms,TOM-VINE-25,tomatoes,44,cases,2026-09-07T11:48:19+00:00
BOL-5031,PO-5031,Valley Mist 2,ROM-ICE-24,romaine,24,cases,2026-09-12T09:36:36+00:00
BOL-5032,PO-5032,Berry Grove Co,STR-CLAM-12,strawberries,48,cases,2026-09-07T12:38:05+00:00
BOL-5033,PO-5033,Fresh Farms,ONI-SK-50,onions,50,cases,2026-09-10T11:00:18+00:00
BOL-5034,PO-5034,Sierra Packing 3,ZUC-CS-20,zucchini,24,cases,2026-09-10T14:53:16+00:00
BOL-5035,PO-5035,Coastal Crisp 2,ROM-ICE-24,romaine,20,cases,2026-09-09T11:38:14+00:00
BOL-5036,PO-5036,Harbor Greens 5,PEP-BLST-20,peppers,48,cases,2026-09-09T14:02:36+00:00
BOL-5036,PO-5036,Harbor Greens 5,ICE-HD-24,iceberg,50,cases,2026-09-09T14:02:36+00:00
BOL-5037,PO-5037,High Desert Growers,ROM-ICE-24,romaine,24,cases,2026-09-07T07:20:56+00:00
BOL-5038,PO-5038,Coastal Crisp 6,BRO-CRN-20,broccoli,20,cases,2026-09-11T11:54:37+00:00
BOL-5039,PO-5039,GreenLeaf Produce,ZUC-CS-20,zucchini,16,cases,2026-09-09T10:46:58+00:00
BOL-5040,PO-5040,North Fork Cold 2,ONI-SK-50,onions,30,cases,2026-09-08T09:50:20+00:00
BOL-5041,PO-5041,Blue Mesa Farms,SPI-BCH-24,spinach,16,cases,2026-09-12T13:56:48+00:00
BOL-5041,PO-5041,Blue Mesa Farms,ASP-BCH-11,asparagus,12,cases,2026-09-12T13:56:48+00:00
BOL-5042,PO-5042,Fresh Farms,CRN-EAR-48,corn,50,cases,2026-09-11T10:56:26+00:00
BOL-5043,PO-5043,Fresh Farms 6,ICE-HD-24,iceberg,12,cases,2026-09-07T11:41:08+00:00
BOL-5044,PO-5044,Berry Grove Co,AVO-CS-48,avocado,24,cases,2026-09-09T09:02:45+00:00
BOL-5044,PO-5044,Berry Grove Co,TOM-VINE-25,tomatoes,16,cases,2026-09-09T09:02:45+00:00
BOL-5045,PO-5045,Fresh Farms 3,AVO-CS-48,avocado,50,cases,2026-09-11T11:15:59+00:00
BOL-5046,PO-5046,Pacific Pack,GBN-CTN-20,green beans,16,cases,2026-09-08T11:42:09+00:00
BOL-5047,PO-5047,GreenLeaf Produce,SPI-BCH-24,spinach,50,cases,2026-09-08T13:43:32+00:00
BOL-5048,PO-5048,CoolChain Farms,BET-BCH-20,beets,24,cases,2026-09-09T11:07:22+00:00
BOL-5049,PO-5049,High Desert Growers,ONI-SK-50,onions,48,cases,2026-09-08T14:18:49+00:00
BOL-5050,PO-5050,Coastal Crisp 2,ROM-ICE-24,romaine,60,cases,2026-09-12T13:45:52+00:00
BOL-5051,PO-5051,Sunridge Organics 4,TOM-VINE-25,tomatoes,14,cases,2026-09-08T07:51:55+00:00
BOL-5052,PO-5052,Red River Produce 3,ONI-SK-50,onions,16,cases,2026-09-12T07:38:30+00:00
BOL-5053,PO-5053,Valley Mist 2,ROM-ICE-24,romaine,16,cases,2026-09-11T10:14:20+00:00
BOL-5054,PO-5054,North Fork Cold 7,LIM-CTN-40,limes,16,cases,2026-09-10T14:51:18+00:00
BOL-5054,PO-5054,North Fork Cold 7,STR-CLAM-12,strawberries,30,cases,2026-09-10T14:51:18+00:00
BOL-5055,PO-5055,GreenLeaf Produce,STR-CLAM-12,strawberries,48,cases,2026-09-07T13:47:03+00:00
BOL-5056,PO-5056,Berry Grove Co,CEL-BCH-30,celery,24,cases,2026-09-10T08:32:10+00:00
BOL-5057,PO-5057,Sunridge Organics,PEP-BLST-20,peppers,50,cases,2026-09-12T08:13:14+00:00
BOL-5058,PO-5058,Coastal Crisp,SPI-BCH-24,spinach,48,cases,2026-09-10T08:20:04+00:00
BOL-5059,PO-5059,Berry Grove Co,ROM-ICE-24,romaine,48,cases,2026-09-08T14:12:19+00:00
BOL-5060,PO-5060,GreenLeaf Produce,ROM-ICE-24,romaine,12,cases,2026-09-08T09:31:44+00:00
BOL-5061,PO-5061,Coastal Crisp 5,KAL-BCH-12,kale,24,cases,2026-09-10T14:06:57+00:00
BOL-5062,PO-5062,Coastal Crisp 3,CEL-BCH-30,celery,12,cases,2026-09-08T13:26:46+00:00
BOL-5063,PO-5063,Valley Mist,SPI-BCH-24,spinach,48,cases,2026-09-11T07:17:37+00:00
BOL-5063,PO-5063,Valley Mist,STR-CLAM-12,strawberries,60,cases,2026-09-11T07:17:37+00:00
BOL-5064,PO-5064,Valley Mist 4,HRB-MIX-12,herbs,30,cases,2026-09-09T14:47:17+00:00
BOL-5065,PO-5065,Fresh Farms,POT-RUS-50,potatoes,48,cases,2026-09-11T10:59:04+00:00
BOL-5066,PO-5066,Blue Mesa Farms,CRN-EAR-48,corn,30,cases,2026-09-11T07:07:16+00:00
BOL-5067,PO-5067,Fresh Farms,CEL-BCH-30,celery,60,cases,2026-09-08T12:26:23+00:00
BOL-5068,PO-5068,CoolChain Farms 4,AVO-CS-48,avocado,20,cases,2026-09-08T07:32:40+00:00
BOL-5069,PO-5069,Fresh Farms,ROM-ICE-24,romaine,50,cases,2026-09-12T09:35:31+00:00
BOL-5070,PO-5070,High Desert Growers 6,POT-RUS-50,potatoes,48,cases,2026-09-10T13:20:44+00:00
BOL-5071,PO-5071,Pacific Pack,KAL-BCH-12,kale,50,cases,2026-09-07T11:10:39+00:00
BOL-5071,PO-5071,Pacific Pack,HRB-MIX-12,herbs,40,cases,2026-09-07T11:10:39+00:00
BOL-5072,PO-5072,Coastal Crisp 5,AVO-CS-48,avocado,24,cases,2026-09-12T10:08:34+00:00
BOL-5073,PO-5073,Fresh Farms,CAR-BAG-50,carrots,12,cases,2026-09-12T14:01:29+00:00
BOL-5074,PO-5074,Sierra Packing 3,LET-BIB-12,lettuce,24,cases,2026-09-11T09:04:08+00:00
BOL-5074,PO-5074,Sierra Packing 3,STR-CLAM-12,strawberries,24,cases,2026-09-11T09:04:08+00:00
BOL-5075,PO-5075,GreenLeaf Produce 2,ROM-ICE-24,romaine,20,cases,2026-09-11T13:43:57+00:00
BOL-5076,PO-5076,Sunridge Organics 2,KAL-BCH-12,kale,24,cases,2026-09-08T08:29:07+00:00
BOL-5076,PO-5076,Sunridge Organics 2,STR-CLAM-12,strawberries,12,cases,2026-09-08T08:29:07+00:00
BOL-5077,PO-5077,Valley Mist 3,KAL-BCH-12,kale,16,cases,2026-09-10T11:29:07+00:00
BOL-5078,PO-5078,Berry Grove Co 3,TOM-VINE-25,tomatoes,12,cases,2026-09-08T12:14:02+00:00
BOL-5079,PO-5079,High Desert Growers,RAD-BCH-24,radish,16,cases,2026-09-12T14:13:25+00:00
BOL-5080,PO-5080,Fresh Farms,BRO-CRN-20,broccoli,40,cases,2026-09-08T08:15:04+00:00
BOL-5081,PO-5081,Coastal Crisp,CAB-GRN-20,cabbage,16,cases,2026-09-12T11:31:18+00:00
BOL-5082,PO-5082,Fresh Farms 3,GBN-CTN-20,celery,48,cases,2026-09-10T13:33:35+00:00
BOL-5083,PO-5083,CoolChain Farms,KAL-BCH-12,kale,20,cases,2026-09-08T13:13:06+00:00
BOL-5084,PO-5084,Fresh Farms,KAL-BCH-12,kale,20,cases,2026-09-07T14:05:05+00:00
BOL-5085,PO-5085,Harbor Greens,KAL-BCH-12,kale,48,cases,2026-09-09T12:00:35+00:00
BOL-5085,PO-5085,Harbor Greens,LMN-CTN-40,lemons,30,cases,2026-09-09T12:00:35+00:00
BOL-5086,PO-5086,Fresh Farms,ROM-ICE-24,romaine,60,cases,2026-09-07T11:19:13+00:00
BOL-5087,PO-5087,Berry Grove Co,LIM-CTN-40,limes,60,cases,2026-09-07T09:22:36+00:00
BOL-5088,PO-5088,Valley Mist 4,SPI-BCH-24,spinach,30,cases,2026-09-07T14:55:42+00:00
BOL-5088,PO-5088,Valley Mist 4,KAL-BCH-12,kale,20,cases,2026-09-07T14:55:42+00:00
BOL-5089,PO-5089,Fresh Farms,ROM-ICE-24,romaine,60,cases,2026-09-09T10:25:04+00:00
BOL-5090,PO-5090,Berry Grove Co,LET-BIB-12,lettuce,16,cases,2026-09-08T10:52:21+00:00
BOL-5091,PO-5091,Fresh Farms,CUC-CTN-24,cucumbers,50,cases,2026-09-07T13:26:39+00:00
BOL-5092,PO-5092,Pacific Pack 3,ROM-ICE-24,romaine,50,cases,2026-09-09T09:19:13+00:00
BOL-5093,PO-5093,Pacific Pack,STR-CLAM-12,strawberries,24,cases,2026-09-10T07:23:14+00:00
BOL-5093,PO-5093,Pacific Pack,SPI-BCH-24,spinach,16,cases,2026-09-10T07:23:14+00:00
BOL-5094,PO-5094,Pacific Pack,BRO-CRN-20,broccoli,40,cases,2026-09-10T08:29:08+00:00
BOL-5095,PO-5095,Coastal Crisp,ASP-BCH-11,asparagus,48,cases,2026-09-08T13:19:02+00:00
BOL-5096,PO-5096,GreenLeaf Produce,KAL-BCH-12,kale,50,cases,2026-09-08T12:27:26+00:00
BOL-5096,PO-5096,GreenLeaf Produce,RAD-BCH-24,radish,16,cases,2026-09-08T12:27:26+00:00
BOL-5097,PO-5097,Berry Grove Co 2,ASP-BCH-11,asparagus,40,cases,2026-09-11T09:04:27+00:00
BOL-5097,PO-5097,Berry Grove Co 2,KAL-BCH-12,kale,20,cases,2026-09-11T09:04:27+00:00
BOL-5098,PO-5098,Red River Produce,LMN-CTN-40,lemons,20,cases,2026-09-09T07:58:33+00:00
BOL-5099,PO-5099,Berry Grove Co,CUC-CTN-24,cucumbers,20,cases,2026-09-07T09:11:12+00:00
BOL-5100,PO-5100,High Desert Growers 3,GBN-CTN-20,green beans,40,cases,2026-09-09T13:26:36+00:00
BOL-5101,PO-5101,Sunridge Organics,SPI-BCH-24,spinach,12,cases,2026-09-08T10:45:04+00:00
BOL-5102,PO-5102,Coastal Crisp,SPI-BCH-24,spinach,16,cases,2026-09-09T09:38:29+00:00
BOL-5103,PO-5103,Berry Grove Co 2,TOM-VINE-25,tomatoes,24,cases,2026-09-09T10:16:29+00:00
BOL-5104,PO-5104,Red River Produce 6,CAU-HD-12,cauliflower,40,cases,2026-09-09T11:16:09+00:00
BOL-5104,PO-5104,Red River Produce 6,ICE-HD-24,iceberg,20,cases,2026-09-09T11:16:09+00:00
BOL-5105,PO-5105,Sierra Packing,KAL-BCH-12,kale,30,cases,2026-09-08T10:44:28+00:00
BOL-5106,PO-5106,GreenLeaf Produce 2,ROM-ICE-24,romaine,16,cases,2026-09-08T09:53:43+00:00
BOL-5107,PO-5107,Berry Grove Co 3,CAR-BAG-50,carrots,20,cases,2026-09-10T09:25:16+00:00
BOL-5108,PO-5108,Sierra Packing 5,ONI-SK-50,onions,48,cases,2026-09-07T12:39:09+00:00
BOL-5109,PO-5109,CoolChain Farms,KAL-BCH-12,kale,20,cases,2026-09-09T15:00:05+00:00
BOL-5110,PO-5110,North Fork Cold 7,PEP-BLST-20,peppers,60,cases,2026-09-10T15:04:47+00:00
BOL-5110,PO-5110,North Fork Cold 7,KAL-BCH-12,kale,20,cases,2026-09-10T15:04:47+00:00
BOL-5111,PO-5111,Berry Grove Co,SPI-BCH-24,spinach,16,cases,2026-09-12T11:08:12+00:00
BOL-5112,PO-5112,GreenLeaf Produce 5,GBN-CTN-20,green beans,20,cases,2026-09-11T14:07:47+00:00
BOL-5113,PO-5113,Sunridge Organics 3,ROM-ICE-24,romaine,40,cases,2026-09-07T14:05:44+00:00
BOL-5114,PO-5114,CoolChain Farms 2,STR-CLAM-12,celery,24,cases,2026-09-10T15:16:28+00:00
BOL-5115,PO-5115,Red River Produce 2,TOM-VINE-25,tomatoes,30,cases,2026-09-11T08:39:23+00:00
BOL-5116,PO-5116,Berry Grove Co 4,SPI-BCH-24,spinach,50,cases,2026-09-09T10:34:10+00:00
BOL-5116,PO-5116,Berry Grove Co 4,ASP-BCH-11,asparagus,60,cases,2026-09-09T10:34:10+00:00
BOL-5117,PO-5117,Red River Produce,LET-BIB-12,lettuce,30,cases,2026-09-12T13:04:54+00:00
BOL-5118,PO-5118,Coastal Crisp,GBN-CTN-20,green beans,12,cases,2026-09-11T08:15:53+00:00
BOL-5119,PO-5119,Berry Grove Co,ROM-ICE-24,romaine,16,cases,2026-09-07T11:17:23+00:00
BOL-5120,PO-5120,Fresh Farms,ROM-ICE-24,romaine,44,cases,2026-09-08T08:14:08+00:00
BOL-5121,PO-5121,GreenLeaf Produce,POT-RUS-50,potatoes,60,cases,2026-09-07T07:40:01+00:00
BOL-5122,PO-5122,CoolChain Farms,CUC-CTN-24,cucumbers,50,cases,2026-09-07T09:27:15+00:00
BOL-5123,PO-5123,GreenLeaf Produce 2,BRO-CRN-20,broccoli,20,cases,2026-09-07T14:43:31+00:00
BOL-5124,PO-5124,GreenLeaf Produce,PEP-BLST-20,peppers,60,cases,2026-09-09T12:14:22+00:00
BOL-5125,PO-5125,Red River Produce,AVO-CS-48,avocado,50,cases,2026-09-07T11:29:34+00:00
BOL-5126,PO-5126,GreenLeaf Produce,ROM-ICE-24,romaine,16,cases,2026-09-10T15:22:23+00:00
BOL-5127,PO-5127,GreenLeaf Produce 3,KAL-BCH-12,kale,40,cases,2026-09-10T13:35:37+00:00
BOL-5127,PO-5127,GreenLeaf Produce 3,STR-CLAM-12,strawberries,50,cases,2026-09-10T13:35:37+00:00
BOL-5128,PO-5128,Fresh Farms,TOM-VINE-25,tomatoes,30,cases,2026-09-09T08:33:51+00:00
BOL-5129,PO-5129,Fresh Farms,ORG-CTN-40,oranges,60,cases,2026-09-07T08:42:56+00:00
BOL-5130,PO-5130,Berry Grove Co,ROM-ICE-24,romaine,40,cases,2026-09-08T13:25:41+00:00
BOL-5131,PO-5131,Valley Mist 5,LMN-CTN-40,lemons,40,cases,2026-09-07T10:08:27+00:00
BOL-5132,PO-5132,Prairie Lot 5,ROM-ICE-24,romaine,44,cases,2026-09-09T11:14:23+00:00
BOL-5133,PO-5133,Blue Mesa Farms,KAL-BCH-12,kale,30,cases,2026-09-09T14:01:11+00:00
BOL-5133,PO-5133,Blue Mesa Farms,TOM-VINE-25,tomatoes,48,cases,2026-09-09T14:01:11+00:00
BOL-5134,PO-5134,Fresh Farms,TOM-VINE-25,tomatoes,12,cases,2026-09-10T09:59:28+00:00
BOL-5135,PO-5135,Red River Produce,HRB-MIX-12,herbs,20,cases,2026-09-10T10:27:23+00:00
BOL-5136,PO-5136,High Desert Growers 2,BRO-CRN-20,broccoli,20,cases,2026-09-07T09:00:49+00:00
BOL-5137,PO-5137,Prairie Lot,SPI-BCH-24,spinach,30,cases,2026-09-08T13:30:04+00:00
BOL-5138,PO-5138,Red River Produce,LET-BIB-12,lettuce,50,cases,2026-09-07T08:35:31+00:00
BOL-5138,PO-5138,Red River Produce,ORG-CTN-40,oranges,30,cases,2026-09-07T08:35:31+00:00
BOL-5139,PO-5139,Fresh Farms,CAU-HD-12,cauliflower,50,cases,2026-09-12T11:11:12+00:00
BOL-5140,PO-5140,North Fork Cold 2,BLU-FLAT-12,blueberries,30,cases,2026-09-12T15:25:20+00:00
BOL-5140,PO-5140,North Fork Cold 2,ONI-SK-50,onions,20,cases,2026-09-12T15:25:20+00:00
BOL-5141,PO-5141,Blue Mesa Farms 3,ROM-ICE-24,romaine,60,cases,2026-09-09T08:02:12+00:00
BOL-5142,PO-5142,Fresh Farms,AVO-CS-48,avocado,50,cases,2026-09-08T13:51:35+00:00
BOL-5142,PO-5142,Fresh Farms,BRO-CRN-20,broccoli,20,cases,2026-09-08T13:51:35+00:00
BOL-5143,PO-5143,Red River Produce 2,SQU-YLW-20,squash,60,cases,2026-09-10T10:50:29+00:00
BOL-5143,PO-5143,Red River Produce 2,TOM-VINE-25,tomatoes,12,cases,2026-09-10T10:50:29+00:00
BOL-5144,PO-5144,CoolChain Farms,HRB-MIX-12,herbs,60,cases,2026-09-07T08:24:10+00:00
BOL-5145,PO-5145,Pacific Pack 2,CEL-BCH-30,celery,60,cases,2026-09-11T09:08:12+00:00
BOL-5146,PO-5146,Valley Mist 6,CEL-BCH-30,celery,40,cases,2026-09-09T08:26:37+00:00
BOL-5147,PO-5147,Sunridge Organics 3,LET-BIB-12,lettuce,48,cases,2026-09-07T15:05:41+00:00
BOL-5148,PO-5148,Pacific Pack 2,SPI-BCH-24,spinach,24,cases,2026-09-10T11:14:56+00:00
BOL-5149,PO-5149,Sierra Packing 2,ICE-HD-24,iceberg,24,cases,2026-09-08T10:52:04+00:00
BOL-5150,PO-5150,CoolChain Farms,ROM-ICE-24,romaine,40,cases,2026-09-07T14:21:45+00:00
BOL-5151,PO-5151,Sunridge Organics,ROM-ICE-24,romaine,12,cases,2026-09-09T09:43:15+00:00
BOL-5152,PO-5152,High Desert Growers,BET-BCH-20,beets,40,cases,2026-09-12T14:22:39+00:00
BOL-5153,PO-5153,Sunridge Organics,ROM-ICE-24,romaine,48,cases,2026-09-10T11:15:32+00:00
BOL-5154,PO-5154,Berry Grove Co 2,ICE-HD-24,iceberg,50,cases,2026-09-09T09:03:13+00:00
BOL-5154,PO-5154,Berry Grove Co 2,BLU-FLAT-12,blueberries,16,cases,2026-09-09T09:03:13+00:00
BOL-5155,PO-5155,Valley Mist,AVO-CS-48,avocado,60,cases,2026-09-07T09:15:46+00:00
BOL-5156,PO-5156,Red River Produce,ORG-CTN-40,oranges,16,cases,2026-09-09T07:37:24+00:00
BOL-5157,PO-5157,Blue Mesa Farms 3,KAL-BCH-12,kale,20,cases,2026-09-12T10:21:23+00:00
BOL-5158,PO-5158,Fresh Farms,KAL-BCH-12,kale,50,cases,2026-09-09T10:25:32+00:00
BOL-5158,PO-5158,Fresh Farms,TOM-VINE-25,tomatoes,60,cases,2026-09-09T10:25:32+00:00
BOL-5159,PO-5159,Berry Grove Co,SPI-BCH-24,spinach,40,cases,2026-09-08T12:13:20+00:00
BOL-5160,PO-5160,Prairie Lot 2,ROM-ICE-24,green beans,40,cases,2026-09-11T11:32:31+00:00
BOL-5161,PO-5161,Harbor Greens 3,CEL-BCH-30,celery,50,cases,2026-09-12T11:58:19+00:00
BOL-5162,PO-5162,Prairie Lot,CAR-BAG-50,carrots,20,cases,2026-09-12T13:40:49+00:00
BOL-5163,PO-5163,Coastal Crisp 4,STR-CLAM-12,strawberries,16,cases,2026-09-10T12:17:49+00:00
BOL-5164,PO-5164,Fresh Farms,ICE-HD-24,iceberg,50,cases,2026-09-07T09:40:26+00:00
BOL-5165,PO-5165,Harbor Greens,KAL-BCH-12,kale,20,cases,2026-09-10T11:25:13+00:00
BOL-5166,PO-5166,Valley Mist,ZUC-CS-20,zucchini,30,cases,2026-09-12T09:55:34+00:00
BOL-5167,PO-5167,GreenLeaf Produce,LIM-CTN-40,limes,30,cases,2026-09-09T15:10:15+00:00
BOL-5168,PO-5168,North Fork Cold,BET-BCH-20,beets,30,cases,2026-09-10T12:53:45+00:00
BOL-5169,PO-5169,Pacific Pack,HRB-MIX-12,herbs,20,cases,2026-09-07T12:46:34+00:00
BOL-5170,PO-5170,Fresh Farms,CRN-EAR-48,corn,24,cases,2026-09-07T15:09:45+00:00
BOL-5171,PO-5171,Harbor Greens,CEL-BCH-30,celery,24,cases,2026-09-11T09:18:59+00:00
BOL-5171,PO-5171,Harbor Greens,ROM-ICE-24,romaine,60,cases,2026-09-11T09:18:59+00:00
BOL-5172,PO-5172,High Desert Growers,PEP-BLST-20,peppers,20,cases,2026-09-10T07:26:06+00:00
BOL-5173,PO-5173,Berry Grove Co,GBN-CTN-20,green beans,50,cases,2026-09-12T15:20:59+00:00
BOL-5174,PO-5174,North Fork Cold 5,STR-CLAM-12,strawberries,12,cases,2026-09-08T12:30:03+00:00
BOL-5175,PO-5175,GreenLeaf Produce 6,AVO-CS-48,avocado,50,cases,2026-09-08T14:08:11+00:00
BOL-5176,PO-5176,Prairie Lot 5,BRO-CRN-20,broccoli,16,cases,2026-09-12T15:12:55+00:00
BOL-5176,PO-5176,Prairie Lot 5,SPI-BCH-24,spinach,60,cases,2026-09-12T15:12:55+00:00
BOL-5177,PO-5177,North Fork Cold 4,ZUC-CS-20,zucchini,40,cases,2026-09-09T15:00:08+00:00
BOL-5178,PO-5178,GreenLeaf Produce,KAL-BCH-12,kale,30,cases,2026-09-07T10:54:41+00:00
BOL-5178,PO-5178,GreenLeaf Produce,CEL-BCH-30,celery,48,cases,2026-09-07T10:54:41+00:00
BOL-5179,PO-5179,Fresh Farms,BET-BCH-20,beets,12,cases,2026-09-08T10:25:42+00:00
BOL-5180,PO-5180,GreenLeaf Produce,POT-RUS-50,potatoes,12,cases,2026-09-08T10:48:48+00:00
BOL-5181,PO-5181,Fresh Farms,STR-CLAM-12,strawberries,60,cases,2026-09-10T12:54:15+00:00
BOL-5182,PO-5182,Valley Mist 6,STR-CLAM-12,strawberries,20,cases,2026-09-10T12:27:58+00:00
BOL-5183,PO-5183,Valley Mist,ICE-HD-24,iceberg,52,cases,2026-09-07T13:22:38+00:00
BOL-5184,PO-5184,GreenLeaf Produce 2,BLU-FLAT-12,blueberries,40,cases,2026-09-10T12:48:48+00:00
BOL-5185,PO-5185,Coastal Crisp 5,ROM-ICE-24,romaine,40,cases,2026-09-07T14:04:35+00:00
BOL-5186,PO-5186,Fresh Farms 3,BLU-FLAT-12,blueberries,12,cases,2026-09-09T12:48:13+00:00
BOL-5186,PO-5186,Fresh Farms 3,ROM-ICE-24,romaine,48,cases,2026-09-09T12:48:13+00:00
BOL-5187,PO-5187,North Fork Cold 2,AVO-CS-48,avocado,12,cases,2026-09-09T11:46:29+00:00
BOL-5188,PO-5188,Valley Mist,ROM-ICE-24,romaine,16,cases,2026-09-09T07:23:27+00:00
BOL-5189,PO-5189,Sunridge Organics 3,CUC-CTN-24,cucumbers,48,cases,2026-09-07T10:29:11+00:00
BOL-5190,PO-5190,Harbor Greens 4,PEP-BLST-20,peppers,60,cases,2026-09-12T10:15:28+00:00
BOL-5191,PO-5191,Berry Grove Co,ROM-ICE-24,romaine,24,cases,2026-09-10T09:58:07+00:00
BOL-5192,PO-5192,Sunridge Organics,BLU-FLAT-12,blueberries,24,cases,2026-09-10T15:20:19+00:00
