doc_id,po_id,supplier,sku,item,quantity,unit,lot_code,received_at
PACK-5019,PO-5019,Fresh Farms 4,TOM-VINE-25,tomatoes,30,cases,T5019-51,2026-09-12T09:26:39+00:00
PACK-5020,PO-5020,Fresh Farms,TOM-VINE-25,tomatoes,48,cases,T5020-53,2026-09-11T14:13:59+00:00
PACK-5021,PO-5021,Berry Grove Co,SPI-BCH-24,spinach,30,cases,S5021-86,2026-09-07T14:23:20+00:00
PACK-5022,PO-5022,Fresh Farms,POT-RUS-50,potatoes,50,cases,P5022-81,2026-09-10T09:29:35+00:00
PACK-5022,PO-5022,Fresh Farms,CRN-EAR-48,corn,50,cases,C5022-92,2026-09-10T09:29:35+00:00
PACK-5023,PO-5023,Fresh Farms,ONI-SK-50,onions,22,cases,O5023-70,2026-09-10T10:57:50+00:00
PACK-5024,PO-5024,North Fork Cold 7,ONI-SK-50,onions,30,cases,O5024-49,2026-09-09T10:04:27+00:00
PACK-5025,PO-5025,Berry Grove Co,HRB-MIX-12,herbs,24,cases,H5025-37,2026-09-08T08:09:46+00:00
PACK-5026,PO-5026,Berry Grove Co 2,LIM-CTN-40,limes,24,cases,L5026-47,2026-09-10T09:29:46+00:00
PACK-5027,PO-5027,Fresh Farms,ROM-ICE-24,romaine,12,cases,R5027-80,2026-09-08T08:39:19+00:00
PACK-5027,PO-5027,Fresh Farms,SPI-BCH-24,spinach,20,cases,S5027-91,2026-09-08T08:39:19+00:00
PACK-5028,PO-5028,Prairie Lot 4,ICE-HD-24,iceberg,44,cases,I5028-16,2026-09-11T11:19:06+00:00
PACK-5029,PO-5029,Fresh Farms,ROM-ICE-24,romaine,12,cases,R5029-29,2026-09-08T14:29:30+00:00
PACK-5030,PO-5030,Fresh Farms,LET-BIB-12,lettuce,16,cases,L5030-58,2026-09-07T11:56:19+00:00
PACK-5030,PO-5030,Fresh Farms,TOM-VINE-25,tomatoes,44,cases,T5030-85,2026-09-07T11:56:19+00:00
PACK-5031,PO-5031,Valley Mist 2,ROM-ICE-24,romaine,24,cases,R5031-90,2026-09-12T09:44:36+00:00
PACK-5032,PO-5032,Berry Grove Co,STR-CLAM-12,strawberries,48,cases,S5032-67,2026-09-07T12:46:05+00:00
PACK-5033,PO-5033,Fresh Farms,ONI-SK-50,onions,50,cases,O5033-19,2026-09-10T11:08:18+00:00
PACK-5034,PO-5034,Sierra Packing 3,ZUC-CS-20,zucchini,24,cases,,2026-09-10T15:01:16+00:00
PACK-5035,PO-5035,Coastal Crisp 2,ROM-ICE-24,romaine,20,cases,R5035-49,2026-09-09T11:46:14+00:00
PACK-5036,PO-5036,Harbor Greens 5,PEP-BLST-20,peppers,48,cases,P5036-44,2026-09-09T14:10:36+00:00
PACK-5036,PO-5036,Harbor Greens 5,ICE-HD-24,iceberg,50,cases,I5036-66,2026-09-09T14:10:36+00:00
PACK-5037,PO-5037,High Desert Growers,ROM-ICE-24,romaine,24,cases,R5037-96,2026-09-07T07:28:56+00:00
PACK-5038,PO-5038,Coastal Crisp 6,BRO-CRN-20,broccoli,20,cases,B5038-70,2026-09-11T12:02:37+00:00
PACK-5039,PO-5039,GreenLeaf Produce,ZUC-CS-20,zucchini,16,cases,Z5039-70,2026-09-09T10:54:58+00:00
PACK-5040,PO-5040,North Fork Cold 2,ONI-SK-50,onions,30,cases,O5040-94,2026-09-08T09:58:20+00:00
PACK-5041,PO-5041,Blue Mesa Farms,SPI-BCH-24,spinach,16,cases,S5041-61,2026-09-12T14:04:48+00:00
PACK-5041,PO-5041,Blue Mesa Farms,ASP-BCH-11,asparagus,12,cases,A5041-94,2026-09-12T14:04:48+00:00
PACK-5042,PO-5042,Fresh Farms,CRN-EAR-48,corn,50,cases,C5042-16,2026-09-11T11:04:26+00:00
PACK-5043,PO-5043,Fresh Farms 6,ICE-HD-24,iceberg,12,cases,I5043-90,2026-09-07T11:49:08+00:00
PACK-5044,PO-5044,Berry Grove Co,AVO-CS-48,avocado,24,cases,A5044-24,2026-09-09T09:10:45+00:00
PACK-5044,PO-5044,Berry Grove Co,TOM-VINE-25,tomatoes,16,cases,T5044-92,2026-09-09T09:10:45+00:00
PACK-5045,PO-5045,Fresh Farms 3,AVO-CS-48,avocado,50,cases,A5045-70,2026-09-11T11:23:59+00:00
PACK-5046,PO-5046,Pacific Pack,GBN-CTN-20,green beans,22,cases,G5046-63,2026-09-08T11:50:09+00:00
PACK-5047,PO-5047,GreenLeaf Produce,SPI-BCH-24,spinach,50,cases,S5047-29,2026-09-08T13:51:32+00:00
PACK-5048,PO-5048,CoolChain Farms,BET-BCH-20,beets,18,cases,B5048-83,2026-09-09T11:15:22+00:00
PACK-5049,PO-5049,High Desert Growers,ONI-SK-50,onions,48,cases,O5049-59,2026-09-08T14:26:49+00:00
PACK-5050,PO-5050,Coastal Crisp 2,ROM-ICE-24,romaine,60,cases,R5050-85,2026-09-12T13:53:52+00:00
PACK-5051,PO-5051,Sunridge Organics 4,TOM-VINE-25,tomatoes,14,cases,T5051-93,2026-09-08T07:59:55+00:00
PACK-5052,PO-5052,Red River Produce 3,ONI-SK-50,onions,8,cases,O5052-96,2026-09-12T07:46:30+00:00
PACK-5053,PO-5053,Valley Mist 2,ROM-ICE-24,romaine,16,cases,R5053-40,2026-09-11T10:22:20+00:00
PACK-5054,PO-5054,North Fork Cold 7,LIM-CTN-40,limes,16,cases,L5054-66,2026-09-10T14:59:18+00:00
PACK-5054,PO-5054,North Fork Cold 7,STR-CLAM-12,strawberries,30,cases,S5054-13,2026-09-10T14:59:18+00:00
PACK-5055,PO-5055,GreenLeaf Produce,STR-CLAM-12,strawberries,48,cases,S5055-82,2026-09-07T13:55:03+00:00
PACK-5056,PO-5056,Berry Grove Co,CEL-BCH-30,celery,24,cases,C5056-73,2026-09-10T08:40:10+00:00
PACK-5057,PO-5057,Sunridge Organics,PEP-BLST-20,peppers,50,cases,P5057-46,2026-09-12T08:21:14+00:00
PACK-5058,PO-5058,Coastal Crisp,SPI-BCH-24,spinach,48,cases,S5058-98,2026-09-10T08:28:04+00:00
PACK-5059,PO-5059,Berry Grove Co,ROM-ICE-24,romaine,48,cases,R5059-83,2026-09-08T14:20:19+00:00
PACK-5060,PO-5060,GreenLeaf Produce,ROM-ICE-24,romaine,12,cases,R5060-87,2026-09-08T09:39:44+00:00
PACK-5061,PO-5061,Coastal Crisp 5,KAL-BCH-12,kale,24,cases,K5061-89,2026-09-10T14:14:57+00:00
PACK-5062,PO-5062,Coastal Crisp 3,CEL-BCH-30,celery,12,cases,C5062-49,2026-09-08T13:34:46+00:00
PACK-5063,PO-5063,Valley Mist,SPI-BCH-24,spinach,48,cases,S5063-32,2026-09-11T07:25:37+00:00
PACK-5063,PO-5063,Valley Mist,STR-CLAM-12,strawberries,60,cases,S5063-56,2026-09-11T07:25:37+00:00
PACK-5064,PO-5064,Valley Mist 4,HRB-MIX-12,herbs,30,cases,H5064-53,2026-09-09T14:55:17+00:00
PACK-5065,PO-5065,Fresh Farms,POT-RUS-50,potatoes,40,cases,P5065-21,2026-09-11T11:07:04+00:00
PACK-5066,PO-5066,Blue Mesa Farms,CRN-EAR-48,corn,30,cases,C5066-84,2026-09-11T07:15:16+00:00
PACK-5067,PO-5067,Fresh Farms,CEL-BCH-30,celery,52,cases,C5067-88,2026-09-08T12:34:23+00:00
PACK-5068,PO-5068,CoolChain Farms 4,AVO-CS-48,avocado,20,cases,A5068-15,2026-09-08T07:40:40+00:00
PACK-5069,PO-5069,Fresh Farms,ROM-ICE-24,romaine,50,cases,R5069-57,2026-09-12T09:43:31+00:00
PACK-5070,PO-5070,High Desert Growers 6,POT-RUS-50,potatoes,48,cases,P5070-93,2026-09-10T13:28:44+00:00
PACK-5071,PO-5071,Pacific Pack,KAL-BCH-12,kale,50,cases,K5071-66,2026-09-07T11:18:39+00:00
PACK-5071,PO-5071,Pacific Pack,HRB-MIX-12,herbs,40,cases,H5071-22,2026-09-07T11:18:39+00:00
PACK-5072,PO-5072,Coastal Crisp 5,AVO-CS-48,avocado,24,cases,A5072-25,2026-09-12T10:16:34+00:00
PACK-5073,PO-5073,Fresh Farms,CAR-BAG-50,carrots,12,cases,C5073-16,2026-09-12T14:09:29+00:00
PACK-5074,PO-5074,Sierra Packing 3,LET-BIB-12,lettuce,24,cases,L5074-85,2026-09-11T09:12:08+00:00
PACK-5074,PO-5074,Sierra Packing 3,STR-CLAM-12,strawberries,24,cases,S5074-52,2026-09-11T09:12:08+00:00
PACK-5075,PO-5075,GreenLeaf Produce 2,ROM-ICE-24,romaine,20,cases,R5075-79,2026-09-11T13:51:57+00:00
PACK-5076,PO-5076,Sunridge Organics 2,KAL-BCH-12,kale,24,cases,K5076-85,2026-09-08T08:37:07+00:00
PACK-5076,PO-5076,Sunridge Organics 2,STR-CLAM-12,strawberries,12,cases,S5076-26,2026-09-08T08:37:07+00:00
PACK-5077,PO-5077,Valley Mist 3,KAL-BCH-12,kale,6,cases,K5077-74,2026-09-10T11:37:07+00:00
PACK-5078,PO-5078,Berry Grove Co 3,TOM-VINE-25,tomatoes,12,cases,T5078-17,2026-09-08T12:22:02+00:00
PACK-5079,PO-5079,High Desert Growers,RAD-BCH-24,radish,16,cases,R5079-20,2026-09-12T14:21:25+00:00
PACK-5080,PO-5080,Fresh Farms,BRO-CRN-20,broccoli,40,cases,B5080-58,2026-09-08T08:23:04+00:00
PACK-5081,PO-5081,Coastal Crisp,CAB-GRN-20,cabbage,16,cases,C5081-93,2026-09-12T11:39:18+00:00
PACK-5082,PO-5082,Fresh Farms 3,GBN-CTN-20,green beans,48,cases,G5082-68,2026-09-10T13:41:35+00:00
PACK-5083,PO-5083,CoolChain Farms,KAL-BCH-12,kale,28,cases,K5083-70,2026-09-08T13:21:06+00:00
PACK-5084,PO-5084,Fresh Farms,KAL-BCH-12,kale,20,cases,,2026-09-07T14:13:05+00:00
PACK-5085,PO-5085,Harbor Greens,KAL-BCH-12,kale,48,cases,K5085-16,2026-09-09T12:08:35+00:00
PACK-5085,PO-5085,Harbor Greens,LMN-CTN-40,lemons,30,cases,L5085-55,2026-09-09T12:08:35+00:00
PACK-5086,PO-5086,Fresh Farms,ROM-ICE-24,romaine,60,cases,R5086-57,2026-09-07T11:27:13+00:00
PACK-5087,PO-5087,Berry Grove Co,LIM-CTN-40,limes,60,cases,,2026-09-07T09:30:36+00:00
PACK-5088,PO-5088,Valley Mist 4,SPI-BCH-24,spinach,30,cases,S5088-53,2026-09-07T15:03:42+00:00
PACK-5088,PO-5088,Valley Mist 4,KAL-BCH-12,kale,20,cases,K5088-28,2026-09-07T15:03:42+00:00
PACK-5089,PO-5089,Fresh Farms,ROM-ICE-24,romaine,60,cases,R5089-37,2026-09-09T10:33:04+00:00
PACK-5090,PO-5090,Berry Grove Co,LET-BIB-12,lettuce,16,cases,L5090-16,2026-09-08T11:00:21+00:00
PACK-5091,PO-5091,Fresh Farms,CUC-CTN-24,cucumbers,50,cases,C5091-87,2026-09-07T13:34:39+00:00
PACK-5092,PO-5092,Pacific Pack 3,ROM-ICE-24,romaine,50,cases,R5092-77,2026-09-09T09:27:13+00:00
PACK-5093,PO-5093,Pacific Pack,STR-CLAM-12,strawberries,18,cases,S5093-42,2026-09-10T07:31:14+00:00
PACK-5093,PO-5093,Pacific Pack,SPI-BCH-24,spinach,12,cases,S5093-73,2026-09-10T07:31:14+00:00
PACK-5094,PO-5094,Pacific Pack,BRO-CRN-20,broccoli,40,cases,B5094-19,2026-09-10T08:37:08+00:00
PACK-5095,PO-5095,Coastal Crisp,ASP-BCH-11,asparagus,48,cases,A5095-83,2026-09-08T13:27:02+00:00
PACK-5096,PO-5096,GreenLeaf Produce,KAL-BCH-12,kale,50,cases,K5096-98,2026-09-08T12:35:26+00:00
PACK-5096,PO-5096,GreenLeaf Produce,RAD-BCH-24,radish,16,cases,R5096-65,2026-09-08T12:35:26+00:00
PACK-5097,PO-5097,Berry Grove Co 2,ASP-BCH-11,asparagus,40,cases,A5097-38,2026-09-11T09:12:27+00:00
PACK-5097,PO-5097,Berry Grove Co 2,KAL-BCH-12,kale,20,cases,K5097-19,2026-09-11T09:12:27+00:00
PACK-5098,PO-5098,Red River Produce,LMN-CTN-40,lemons,20,cases,L5098-40,2026-09-09T08:06:33+00:00
PACK-5099,PO-5099,Berry Grove Co,CUC-CTN-24,cucumbers,20,cases,C5099-90,2026-09-07T09:19:12+00:00
PACK-5100,PO-5100,High Desert Growers 3,GBN-CTN-20,green beans,40,cases,G5100-90,2026-09-09T13:34:36+00:00
PACK-5101,PO-5101,Sunridge Organics,SPI-BCH-24,spinach,12,cases,S5101-55,2026-09-08T10:53:04+00:00
PACK-5102,PO-5102,Coastal Crisp,SPI-BCH-24,spinach,16,cases,S5102-88,2026-09-09T09:46:29+00:00
PACK-5103,PO-5103,Berry Grove Co 2,TOM-VINE-25,tomatoes,24,cases,T5103-51,2026-09-09T10:24:29+00:00
PACK-5104,PO-5104,Red River Produce 6,CAU-HD-12,cauliflower,40,cases,C5104-20,2026-09-09T11:24:09+00:00
PACK-5104,PO-5104,Red River Produce 6,ICE-HD-24,iceberg,20,cases,I5104-15,2026-09-09T11:24:09+00:00
PACK-5105,PO-5105,Sierra Packing,KAL-BCH-12,kale,30,cases,K5105-59,2026-09-08T10:52:28+00:00
PACK-5106,PO-5106,GreenLeaf Produce 2,ROM-ICE-24,romaine,16,cases,R5106-81,2026-09-08T10:01:43+00:00
PACK-5107,PO-5107,Berry Grove Co 3,CAR-BAG-50,carrots,20,cases,C5107-52,2026-09-10T09:33:16+00:00
PACK-5108,PO-5108,Sierra Packing 5,ONI-SK-50,onions,48,cases,O5108-26,2026-09-07T12:47:09+00:00
PACK-5109,PO-5109,CoolChain Farms,KAL-BCH-12,kale,20,cases,K5109-95,2026-09-09T15:08:05+00:00
PACK-5110,PO-5110,North Fork Cold 7,PEP-BLST-20,peppers,52,cases,P5110-12,2026-09-10T15:12:47+00:00
PACK-5110,PO-5110,North Fork Cold 7,KAL-BCH-12,kale,14,cases,K5110-53,2026-09-10T15:12:47+00:00
PACK-5111,PO-5111,Berry Grove Co,SPI-BCH-24,spinach,16,cases,S5111-74,2026-09-12T11:16:12+00:00
PACK-5112,PO-5112,GreenLeaf Produce 5,GBN-CTN-20,green beans,10,cases,G5112-29,2026-09-11T14:15:47+00:00
PACK-5113,PO-5113,Sunridge Organics 3,ROM-ICE-24,romaine,40,cases,R5113-96,2026-09-07T14:13:44+00:00
PACK-5114,PO-5114,CoolChain Farms 2,STR-CLAM-12,strawberries,24,cases,S5114-70,2026-09-10T15:24:28+00:00
PACK-5115,PO-5115,Red River Produce 2,TOM-VINE-25,tomatoes,30,cases,T5115-58,2026-09-11T08:47:23+00:00
PACK-5116,PO-5116,Berry Grove Co 4,SPI-BCH-24,spinach,50,cases,,2026-09-09T10:42:10+00:00
PACK-5116,PO-5116,Berry Grove Co 4,ASP-BCH-11,asparagus,60,cases,,2026-09-09T10:42:10+00:00
PACK-5117,PO-5117,Red River Produce,LET-BIB-12,lettuce,30,cases,L5117-67,2026-09-12T13:12:54+00:00
PACK-5118,PO-5118,Coastal Crisp,GBN-CTN-20,green beans,12,cases,G5118-63,2026-09-11T08:23:53+00:00
PACK-5119,PO-5119,Berry Grove Co,ROM-ICE-24,romaine,16,cases,R5119-93,2026-09-07T11:25:23+00:00
PACK-5120,PO-5120,Fresh Farms,ROM-ICE-24,romaine,44,cases,R5120-88,2026-09-08T08:22:08+00:00
PACK-5121,PO-5121,GreenLeaf Produce,POT-RUS-50,potatoes,60,cases,P5121-64,2026-09-07T07:48:01+00:00
PACK-5122,PO-5122,CoolChain Farms,CUC-CTN-24,cucumbers,50,cases,C5122-18,2026-09-07T09:35:15+00:00
PACK-5123,PO-5123,GreenLeaf Produce 2,BRO-CRN-20,broccoli,20,cases,B5123-47,2026-09-07T14:51:31+00:00
PACK-5124,PO-5124,GreenLeaf Produce,PEP-BLST-20,peppers,60,cases,P5124-56,2026-09-09T12:22:22+00:00
PACK-5125,PO-5125,Red River Produce,AVO-CS-48,avocado,50,cases,A5125-15,2026-09-07T11:37:34+00:00
PACK-5126,PO-5126,GreenLeaf Produce,ROM-ICE-24,romaine,16,cases,R5126-94,2026-09-10T15:30:23+00:00
PACK-5127,PO-5127,GreenLeaf Produce 3,KAL-BCH-12,kale,40,cases,K5127-92,2026-09-10T13:43:37+00:00
PACK-5127,PO-5127,GreenLeaf Produce 3,STR-CLAM-12,strawberries,50,cases,S5127-99,2026-09-10T13:43:37+00:00
PACK-5128,PO-5128,Fresh Farms,TOM-VINE-25,tomatoes,30,cases,T5128-35,2026-09-09T08:41:51+00:00
PACK-5129,PO-5129,Fresh Farms,ORG-CTN-40,oranges,60,cases,O5129-70,2026-09-07T08:50:56+00:00
PACK-5130,PO-5130,Berry Grove Co,ROM-ICE-24,romaine,40,cases,R5130-44,2026-09-08T13:33:41+00:00
PACK-5131,PO-5131,Valley Mist 5,LMN-CTN-40,lemons,40,cases,L5131-33,2026-09-07T10:16:27+00:00
PACK-5132,PO-5132,Prairie Lot 5,ROM-ICE-24,romaine,44,cases,R5132-65,2026-09-09T11:22:23+00:00
PACK-5133,PO-5133,Blue Mesa Farms,KAL-BCH-12,kale,30,cases,K5133-49,2026-09-09T14:09:11+00:00
PACK-5133,PO-5133,Blue Mesa Farms,TOM-VINE-25,tomatoes,48,cases,T5133-31,2026-09-09T14:09:11+00:00
PACK-5134,PO-5134,Fresh Farms,TOM-VINE-25,tomatoes,12,cases,T5134-19,2026-09-10T10:07:28+00:00
PACK-5135,PO-5135,Red River Produce,HRB-MIX-12,herbs,10,cases,H5135-14,2026-09-10T10:35:23+00:00
PACK-5136,PO-5136,High Desert Growers 2,BRO-CRN-20,broccoli,10,cases,B5136-57,2026-09-07T09:08:49+00:00
PACK-5137,PO-5137,Prairie Lot,SPI-BCH-24,spinach,24,cases,S5137-24,2026-09-08T13:38:04+00:00
PACK-5138,PO-5138,Red River Produce,LET-BIB-12,lettuce,50,cases,L5138-37,2026-09-07T08:43:31+00:00
PACK-5138,PO-5138,Red River Produce,ORG-CTN-40,oranges,30,cases,O5138-98,2026-09-07T08:43:31+00:00
PACK-5139,PO-5139,Fresh Farms,CAU-HD-12,cauliflower,46,cases,C5139-97,2026-09-12T11:19:12+00:00
PACK-5140,PO-5140,North Fork Cold 2,BLU-FLAT-12,blueberries,30,cases,B5140-30,2026-09-12T15:33:20+00:00
PACK-5140,PO-5140,North Fork Cold 2,ONI-SK-50,onions,20,cases,O5140-56,2026-09-12T15:33:20+00:00
PACK-5141,PO-5141,Blue Mesa Farms 3,ROM-ICE-24,romaine,60,cases,R5141-83,2026-09-09T08:10:12+00:00
PACK-5142,PO-5142,Fresh Farms,AVO-CS-48,avocado,50,cases,A5142-77,2026-09-08T13:59:35+00:00
PACK-5142,PO-5142,Fresh Farms,BRO-CRN-20,broccoli,20,cases,B5142-50,2026-09-08T13:59:35+00:00
PACK-5143,PO-5143,Red River Produce 2,SQU-YLW-20,squash,54,cases,S5143-26,2026-09-10T10:58:29+00:00
PACK-5143,PO-5143,Red River Produce 2,TOM-VINE-25,tomatoes,8,cases,T5143-76,2026-09-10T10:58:29+00:00
PACK-5144,PO-5144,CoolChain Farms,HRB-MIX-12,herbs,60,cases,H5144-46,2026-09-07T08:32:10+00:00
PACK-5145,PO-5145,Pacific Pack 2,CEL-BCH-30,celery,60,cases,C5145-21,2026-09-11T09:16:12+00:00
PACK-5146,PO-5146,Valley Mist 6,CEL-BCH-30,celery,36,cases,C5146-13,2026-09-09T08:34:37+00:00
PACK-5147,PO-5147,Sunridge Organics 3,LET-BIB-12,lettuce,48,cases,L5147-89,2026-09-07T15:13:41+00:00
PACK-5148,PO-5148,Pacific Pack 2,SPI-BCH-24,spinach,24,cases,S5148-97,2026-09-10T11:22:56+00:00
PACK-5149,PO-5149,Sierra Packing 2,ICE-HD-24,iceberg,16,cases,I5149-87,2026-09-08T11:00:04+00:00
PACK-5150,PO-5150,CoolChain Farms,ROM-ICE-24,romaine,40,cases,R5150-75,2026-09-07T14:29:45+00:00
PACK-5151,PO-5151,Sunridge Organics,ROM-ICE-24,romaine,12,cases,R5151-47,2026-09-09T09:51:15+00:00
PACK-5152,PO-5152,High Desert Growers,BET-BCH-20,beets,40,cases,B5152-34,2026-09-12T14:30:39+00:00
PACK-5153,PO-5153,Sunridge Organics,ROM-ICE-24,romaine,48,cases,R5153-74,2026-09-10T11:23:32+00:00
PACK-5154,PO-5154,Berry Grove Co 2,ICE-HD-24,iceberg,50,cases,I5154-46,2026-09-09T09:11:13+00:00
PACK-5154,PO-5154,Berry Grove Co 2,BLU-FLAT-12,blueberries,16,cases,B5154-65,2026-09-09T09:11:13+00:00
PACK-5155,PO-5155,Valley Mist,AVO-CS-48,avocado,54,cases,A5155-56,2026-09-07T09:23:46+00:00
PACK-5156,PO-5156,Red River Produce,ORG-CTN-40,oranges,16,cases,O5156-26,2026-09-09T07:45:24+00:00
PACK-5157,PO-5157,Blue Mesa Farms 3,KAL-BCH-12,kale,20,cases,K5157-35,2026-09-12T10:29:23+00:00
PACK-5158,PO-5158,Fresh Farms,KAL-BCH-12,kale,50,cases,K5158-76,2026-09-09T10:33:32+00:00
PACK-5158,PO-5158,Fresh Farms,TOM-VINE-25,tomatoes,60,cases,T5158-27,2026-09-09T10:33:32+00:00
PACK-5159,PO-5159,Berry Grove Co,SPI-BCH-24,spinach,40,cases,S5159-74,2026-09-08T12:21:20+00:00
PACK-5160,PO-5160,Prairie Lot 2,ROM-ICE-24,romaine,40,cases,R5160-24,2026-09-11T11:40:31+00:00
PACK-5161,PO-5161,Harbor Greens 3,CEL-BCH-30,celery,50,cases,C5161-43,2026-09-12T12:06:19+00:00
PACK-5162,PO-5162,Prairie Lot,CAR-BAG-50,carrots,20,cases,C5162-77,2026-09-12T13:48:49+00:00
PACK-5163,PO-5163,Coastal Crisp 4,STR-CLAM-12,strawberries,16,cases,S5163-34,2026-09-10T12:25:49+00:00
PACK-5164,PO-5164,Fresh Farms,ICE-HD-24,iceberg,50,cases,I5164-17,2026-09-07T09:48:26+00:00
PACK-5165,PO-5165,Harbor Greens,KAL-BCH-12,kale,20,cases,K5165-68,2026-09-10T11:33:13+00:00
PACK-5166,PO-5166,Valley Mist,ZUC-CS-20,zucchini,30,cases,Z5166-88,2026-09-12T10:03:34+00:00
PACK-5167,PO-5167,GreenLeaf Produce,LIM-CTN-40,limes,30,cases,L5167-46,2026-09-09T15:18:15+00:00
PACK-5168,PO-5168,North Fork Cold,BET-BCH-20,beets,30,cases,B5168-46,2026-09-10T13:01:45+00:00
PACK-5169,PO-5169,Pacific Pack,HRB-MIX-12,herbs,20,cases,H5169-47,2026-09-07T12:54:34+00:00
PACK-5170,PO-5170,Fresh Farms,CRN-EAR-48,corn,24,cases,C5170-35,2026-09-07T15:17:45+00:00
PACK-5171,PO-5171,Harbor Greens,CEL-BCH-30,celery,24,cases,C5171-41,2026-09-11T09:26:59+00:00
PACK-5171,PO-5171,Harbor Greens,ROM-ICE-24,romaine,60,cases,R5171-38,2026-09-11T09:26:59+00:00
PACK-5172,PO-5172,High Desert Growers,PEP-BLST-20,peppers,20,cases,P5172-10,2026-09-10T07:34:06+00:00
PACK-5173,PO-5173,Berry Grove Co,GBN-CTN-20,green beans,44,cases,G5173-46,2026-09-12T15:28:59+00:00
PACK-5174,PO-5174,North Fork Cold 5,STR-CLAM-12,strawberries,12,cases,S5174-32,2026-09-08T12:38:03+00:00
